WVTNVGQ;OODUOMFY;ZUXYK@WJRA.RRT;91.27371892590357;17;
CVRBEDQ;KDMDABXY;SLGFI@QXMI.LLW;29.814611764751838;3;
YBPHKPJ;CXAUZERF;LSRXV@CFDJ.JJH;113.69247892926956;19;
RBMLOCF;GEAWZHJP;RHBAW@AMLF.QQH;79.74477080810081;22;
JIUNCVN;GPTMAFDM;FXVVG@GMCO.ANK;53.32589128523245;11;
BAEDXPZ;LTOIKMSV;WHMUG@HTDM.CRC;120.42749739788049;14;
DPSYUON;IWXANTXD;LXGDS@RBJP.RPO;42.80689140556905;24;
AERDJAN;PZEXDNIE;WYGQO@GZQA.YVE;6.934135222042196;23;
MEMSMTR;WFEYDGRE;WLCYP@BTIF.BAV;79.93532622190182;16;
YWBAEPW;KPIYCELI;WXBHE@GEBC.AUI;78.80509617859155;22;
VIXBZPB;XMWSIDAC;FGVCG@DREO.JZL;20.492328817617434;3;
AOORJMQ;FWGTKOBU;QAIJM@TAZK.PZC;121.45120349401871;27;
KGGLLJP;WQXSWDZU;GVQZK@BJID.YIN;175.07593772923357;22;
DYJMGQV;QXSIYOSC;EMQLC@ZLZQ.AAX;121.0356984573343;29;
DUDJTYF;NSHVGHZI;WAGOH@KSDL.WPO;150.65875927482352;25;
XJNDKUT;JUSAAOAT;WPDWQ@QTBX.JHA;122.62154558177697;10;
EEZYZVY;UYNNSBFT;NYEEV@JLOR.NLU;76.8275621441062;22;
YNWAHHM;GBPCRKET;QWFPJ@SOXO.BAS;102.05363776756184;27;
UGNEEHQ;RSALZJHY;XRISO@DTZY.ACZ;50.48902391760606;29;
YVWQZUO;AWMEMSZZ;ZFLTN@OXOJ.ZNG;37.037955005036075;12;
FZSPGXJ;BHFFASEG;WNAGC@CBLI.ZCG;41.6492348333928;20;
ZVCTLLI;PGCSLWQF;RMDRE@WRJA.SMU;161.8930310090523;11;
XYUYVCM;RNXGQNLS;ORVLO@VKQE.ZFF;58.38786186168675;4;
JELXINP;FIPYPLKE;UJGZG@TSJK.JXB;20.65379519822079;13;
WZTFKPG;SRJPZSFI;GWDUU@XARB.VFS;196.14009436360206;25;
ODHZQTA;BONYGXCR;DBAYQ@LEKT.ILK;110.98313412756772;15;
TCMYZAH;ARMGUGMR;OMNEB@IFJM.PFV;88.90211870970795;15;
YULGSAG;JYFGFUGY;YUNJZ@FNCQ.IHR;93.5753203295987;6;
GKNAJWA;YNSRWKTJ;RLNZW@SONW.YDT;27.247820042235865;25;
LJVJKBD;BSOCZSMV;PVYEN@ZJWR.EXD;184.72581391079933;21;
QZSUQAY;GBLVOEEZ;SVZQZ@QGTZ.FDF;164.99532750578965;28;
PEOOXHA;DFHGMXTI;UZKIB@QUYH.ECS;104.17920983890657;16;
TYVJCCG;PATOGLAR;OFDJS@IAJO.DQT;55.864775262239114;9;
GLLVQNE;JEVYPQQS;OTCPP@EUJJ.PUK;32.81574296976561;19;
KXMXOTT;WIGVYPUB;FELAZ@JSIC.JWZ;147.04795476947768;15;
YVCCSVO;LXAAUIAR;TUOJB@OFMK.MOJ;194.71734287132566;6;
GLNRHIH;ABCDCZUB;SQJOY@MOWB.KYE;95.82258832056175;15;
ESPHGJB;TPNUTTSA;MAMSR@YJRN.UMC;169.12021512557834;25;
TDBRBMD;NOLFWJYK;CMXAO@QHHF.ORP;117.35643058834457;29;
MOBYORP;KZJRDHUK;ICIFG@RDDY.PPP;36.89943805825538;4;
VEYPEOR;QQRZLIFZ;ZYXIN@UUXB.LXF;166.82013972184396;28;
OKXQCAD;FAQCARSG;SUEWZ@UPBB.BBI;124.81046303921093;14;
IEIDTGA;NEVFDFHG;TRMAH@TNNV.AHS;144.98727471697748;2;
PIPWKZQ;ECTOZVYU;PZEJS@SBEZ.ZJW;169.91973337970066;17;
DZYOFGO;DQZBZAIF;ISUKL@BUXQ.TWW;34.29926973004061;8;
AEBLBOB;KVSCCMWE;TTCEN@WVQQ.MQZ;161.760919978954;3;
TVPOVHS;FWHLHZWQ;RWWQN@HOWU.RYX;29.88544069150598;8;
GAXJYOE;EFEAZEBN;LWPDH@ZVKC.GCI;163.67377677952294;7;
NBANEUD;GHYLOLRR;DIRRM@TWYT.DFK;154.93089189932178;6;
JZHLRTQ;DRZIJDNW;QXPRB@NFZQ.NCZ;176.67118085464384;23;
GPQXIZG;STAYEPYB;HAZSD@YPMX.LTQ;142.1494577994635;11;
ECGVZOY;ROAOMPLU;TFCVI@HZUO.WRH;190.92387468033755;10;
SSEEAVR;BZEZDIFJ;KQXRZ@JATD.YDJ;23.79075223537164;25;
AFAYYSV;RWREYFLU;UJROH@GNIU.IBY;73.38547053622767;9;
VZJXJWM;XHOHFYIV;QDJAE@KEEH.AVD;137.23276278544404;7;
DCQHRQX;UYFXEJXL;BMZHJ@EEVF.ARK;89.92038070920184;8;
QKQPJKU;MBCWHLFS;NBVMG@HVCW.QYU;70.51735002155957;17;
ALLRMPN;OFXTPXZW;VJJVB@HQGH.KJI;161.5549214907657;3;
XUKBMGM;EAXNWLVI;VTPFK@YPQZ.YCA;162.21137571181933;23;
SXNAVJZ;STTSOTXP;LEMKK@IARS.YMG;109.59313448201938;17;
VRAFPHL;DZHGBWPB;LFBDV@JXQG.TLI;81.37918581994649;0;
QHUHODD;EZKRWXTO;QJIXE@OEYX.OCQ;31.611014397900675;27;
UILIPUN;KSXLSRSQ;QUHSH@SFPH.MOV;144.85801355411624;2;
CBRUHMX;TMDSQEFY;AOSSH@ZWRM.NKT;95.48872952725418;17;
ZCHXFRH;FETJYVHI;YRNFW@SOIE.HJG;172.05000557286235;3;
CZNVXQG;YHDFKAZJ;ZLHUJ@LWCM.WFX;4.629713078493445;9;
UYVBVKE;BXOCPNIN;NVXXA@UNAR.JHS;139.15732879526462;29;
OYLPBXN;UCNTHBOD;KXUWU@XYOX.NMW;64.00587066672267;7;
GAUJTVL;XHKJPQGU;JTFHM@NJNU.EQF;121.65411509607016;15;
BJBCYFG;FVSKFVAE;XFESZ@TZRI.SBQ;90.30444879674681;15;
MUUMZTZ;RIBHNDAL;WITXZ@NPOL.ZBT;51.667717961908494;6;
TAMPAVR;UCDCFXRP;MKEQC@HEGU.OOI;194.0057013183244;4;
